Rank,NASA,TA,E,A,C,N,O,AC,EC,TC,H,RS,WH,TWR,BF,NP,FA,SR,AP,AR,DWH,DWR,T,DS,FC
3,26,48,5,7,8,8,7,23,25,17,22,1,2,30,1,2,1,1,2,5,2,70,2,2,2
2,26,37,7,8,8,6,7,16,20,24,19,1,2,50,2,1,2,3,2,5,2,80,2,1,5
3,23,58,5,5,10,10,9,17,26,29,25,2,2,30,1,3,1,2,2,2,2,60,1,1,5
1,25,63,6,9,10,9,8,23,33,27,20,2,2,30,2,1,3,1,2,5,2,70,1,2,3
3,16,36,7,7,7,4,10,21,20,31,32,2,2,50,1,1,3,1,2,4,1,50,2,1,1
3,35,44,5,10,10,5,8,15,17,28,35,2,2,70,2,3,1,2,1,4,2,70,2,2,4
3,22,35,4,4,10,3,7,24,9,32,33,1,2,20,2,1,4,5,2,4,2,70,1,2,5
2,31,38,5,6,6,7,6,13,21,30,24,2,2,40,2,2,2,3,2,5,2,70,2,1,6
2,19,31,6,8,9,2,10,16,22,33,9,2,2,40,2,2,1,5,2,5,2,70,1,1,5
1,30,39,6,9,10,7,4,12,20,26,32,2,2,40,2,2,5,2,2,4,2,80,2,1,6
2,20,56,4,4,6,9,8,22,25,21,26,2,2,40,1,2,1,2,2,2,2,40,2,2,6
3,23,55,4,6,7,7,6,15,25,28,27,2,2,60,2,2,1,2,1,2,2,80,2,2,5
3,21,34,8,9,10,5,9,22,17,33,84,1,2,50,2,1,1,6,2,4,2,60,2,1,4
3,24,29,8,7,9,4,10,19,14,26,31,2,2,50,1,1,1,3,2,5,1,50,2,2,2
2,32,54,7,8,9,9,9,18,29,29,52,2,2,20,2,1,2,3,2,5,2,40,2,2,4
3,23,29,4,7,5,3,6,18,13,31,45,1,2,20,2,1,2,2,2,2,2,50,1,2,4
3,18,28,4,6,10,3,5,14,11,34,23,1,2,30,2,2,1,4,2,5,2,70,2,1,6
1,25,54,6,7,9,9,10,12,24,24,25,2,2,40,1,1,1,1,2,2,2,60,2,2,1
3,23,44,3,8,7,7,9,21,21,27,34,2,2,30,2,1,2,4,2,5,2,40,1,2,5
1,23,50,8,6,8,6,9,18,21,32,16,1,2,40,1,3,1,2,2,4,2,60,2,2,3
1,14,36,3,8,9,5,5,8,17,25,13,2,1,40,1,3,1,2,2,2,2,60,2,2,6
3,25,50,5,5,10,4,8,13,19,31,17,2,2,20,2,2,1,3,2,5,2,60,1,2,4
1,23,41,9,7,10,5,8,15,9,33,9,1,2,30,1,3,3,3,1,2,2,70,1,1,6
2,35,44,6,8,9,6,4,18,32,25,10,2,2,30,2,3,6,1,2,2,2,50,2,2,4
2,27,39,9,7,6,5,6,12,17,31,44,1,2,30,1,1,1,3,1,2,2,0,1,2,6
3,23,29,7,7,10,5,6,26,13,28,16,2,2,40,2,2,4,3,2,3,2,60,2,1,6
1,16,38,8,7,10,5,9,31,20,32,11,2,2,60,2,2,1,2,2,5,2,80,2,1,6
